headline,date,doc_type,material_type,section,keywords
Irish Ex-Soldier Who Married ISIS Fighter Is Arrested,2019-12-01,article,News,,"['Terrorism', 'Politics and Government', 'Children and Childhood']"
Georgetown Loses a Player Accused of Threats,2019-12-03,article,News,,['Basketball (College)']
Senate Confirms Dan Brouillette to Lead Energy Department,2019-12-02,article,News,,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Appointments and Executive Changes', 'Lobbying and Lobbyists']"
"Perry Hoffman, 75, Dies; Saw Family Support as Key to Psychiatric Care",2019-12-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Psychology and Psychologists', 'Mental Health and Disorders']"
Snow Days,2019-12-03,article,News,,[]
Trippie Redd Tops Chart With Mixtape ‘A Love Letter to You 4’,2019-12-02,article,News,,"['Rap and Hip-Hop', 'Music']"
"No Corrections: Dec. 2, 2019",2019-12-02,article,News,,[]
"Wayne Merry, Climber Who Conquered El Capitan, Dies at 88",2019-12-03,article,Obituary (Obit),,"['Rock Climbing', 'Deaths (Obituaries)', 'National Parks, Monuments and Seashores']"
"U.S. Drone Killed Afghan Civilians, Officials Say",2019-12-01,article,News,,"['Drones (Pilotless Planes)', 'Civilian Casualties', 'Afghanistan War (2001- )']"
"China Has Lost Taiwan, and It Knows It",2019-12-02,article,Op-Ed,,"['Politics and Government', 'Elections', 'Defense and Military Forces', 'Secession and Independence Movements']"
Beacon High School Is Half White. That’s Why Students Walked Out.,2019-12-02,article,News,,"['Education (K-12)', 'ADMISSIONS STANDARDS', 'Segregation and Desegregation', 'Race and Ethnicity', 'Blacks', 'Black People', 'Demonstrations, Protests and Riots']"
Fake Meat vs. Real Meat,2019-12-03,article,News,,"['Vegetarianism', 'Meat', 'Beef', 'Fast Food Industry', 'Hamburgers', 'Diet and Nutrition', 'ADVERTISING AND MARKETING']"
Tracking Down the Minford High School Class of 2000,2019-12-03,article,News,,"['Drug Abuse and Traffic', 'Opioids and Opiates', 'OxyContin (Drug)', 'Heroin']"
Hemp Industry Is Cleared to Do Business With Banks,2019-12-03,article,News,,"['Banking and Financial Institutions', 'Hemp', 'Regulation and Deregulation of Industry']"
What’s on TV Sunday: Kacey Musgraves’s Christmas Show and ‘Apollo 11’,2019-12-01,article,News,,"['Television', 'Movies']"
